,GEO_ID,Name,Total Population,Percent Male,Percent Female,Median Age,Percent Under 18,Percent 65 and Over,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Other Race,Percent Two or More Races,Percent Hispanic or Latino,Total Housing Units,Median Income,Percent of Population over 25 with Bachelor's Degree or Higher
622,1400000US19153010500,Census Tract 105; Polk County; Iowa,6772,59.3,40.7,42.2,14.1,19.2,90.0,4.8,0.0,1.0,0.0,0.0,4.2,7.5,2726,72955,19.3
623,1400000US19153010601,Census Tract 106.01; Polk County; Iowa,2738,38.8,61.2,40.6,24.8,19.6,96.3,0.2,0.0,1.1,0.0,0.0,2.3,2.0,1261,66607,18.3
624,1400000US19153010602,Census Tract 106.02; Polk County; Iowa,7197,45.8,54.2,39.2,28.2,17.2,86.2,6.3,0.0,3.5,0.0,1.9,2.1,7.7,2879,82127,28.6
625,1400000US19153010702,Census Tract 107.02; Polk County; Iowa,6114,42.6,57.4,43.6,17.3,17.1,92.0,1.5,0.1,0.6,0.0,0.4,5.4,2.8,2302,100357,26.3
626,1400000US19153010703,Census Tract 107.03; Polk County; Iowa,5454,51.6,48.4,36.0,26.9,11.4,92.2,5.6,0.7,0.1,0.0,0.5,0.8,5.4,2295,85560,34.2
627,1400000US19153010707,Census Tract 107.07; Polk County; Iowa,4159,41.8,58.2,32.8,19.6,18.2,84.5,6.5,1.8,2.5,0.0,0.0,4.7,1.2,1611,67610,20.0
628,1400000US19153010708,Census Tract 107.08; Polk County; Iowa,5901,51.3,48.7,35.2,29.5,15.4,90.0,1.8,0.0,2.0,0.0,0.0,6.2,4.1,2164,101194,37.4
629,1400000US19153010709,Census Tract 107.09; Polk County; Iowa,4326,47.5,52.5,39.7,26.7,15.5,92.0,0.0,0.0,0.0,0.0,2.2,5.8,7.6,1709,87409,35.7
630,1400000US19153010803,Census Tract 108.03; Polk County; Iowa,5173,47.0,53.0,34.8,28.8,15.1,84.8,5.6,0.0,5.4,0.0,0.1,4.1,2.8,1964,76467,27.5
631,1400000US19153010804,Census Tract 108.04; Polk County; Iowa,5643,49.7,50.3,39.6,28.5,15.7,94.2,0.1,0.5,0.2,0.0,0.2,4.8,8.5,2007,107031,34.1
632,1400000US19153010805,Census Tract 108.05; Polk County; Iowa,7773,47.7,52.3,34.6,25.6,9.3,79.1,4.1,0.0,12.5,0.0,0.2,4.1,13.8,2601,107066,33.2
633,1400000US19153010806,Census Tract 108.06; Polk County; Iowa,4379,46.9,53.1,36.4,30.9,7.8,81.3,4.7,0.0,4.3,0.0,0.3,9.3,15.7,1831,55417,16.4
634,1400000US19153011001,Census Tract 110.01; Polk County; Iowa,4013,49.0,51.0,31.8,22.7,8.8,75.3,15.4,0.0,1.5,0.0,1.4,6.4,7.5,1879,56944,15.9
635,1400000US19153011021,Census Tract 110.21; Polk County; Iowa,5047,48.4,51.6,41.8,23.9,18.6,87.2,1.0,0.2,5.6,0.5,4.6,0.8,8.6,2041,108673,51.6
636,1400000US19153011025,Census Tract 110.25; Polk County; Iowa,3942,47.5,52.5,38.0,31.7,12.8,85.9,0.9,0.0,3.6,0.0,1.0,8.7,5.1,1524,106920,61.5
637,1400000US19153011026,Census Tract 110.26; Polk County; Iowa,5799,51.1,48.9,44.2,18.0,15.8,89.3,5.4,0.0,2.3,0.0,0.7,2.3,2.2,2807,93411,70.7
638,1400000US19153011027,Census Tract 110.27; Polk County; Iowa,6787,47.9,52.1,36.8,20.8,16.1,82.8,4.7,0.0,5.8,0.0,0.7,6.0,1.3,3293,94141,58.2
639,1400000US19153011028,Census Tract 110.28; Polk County; Iowa,5163,46.3,53.7,44.6,20.7,18.8,80.6,2.5,0.0,3.5,0.0,3.8,9.6,11.4,2477,68191,52.9
640,1400000US19153011111,Census Tract 111.11; Polk County; Iowa,5356,47.2,52.8,34.4,21.8,14.6,74.1,11.3,0.0,12.2,0.0,0.0,2.4,7.7,2681,48224,32.9
641,1400000US19153011112,Census Tract 111.12; Polk County; Iowa,3717,55.6,44.4,44.5,21.3,23.0,77.9,1.8,0.1,1.8,0.0,2.6,15.8,6.7,1735,88813,54.3
642,1400000US19153011113,Census Tract 111.13; Polk County; Iowa,2421,55.6,44.4,30.7,20.4,9.6,82.2,3.6,0.0,6.0,0.0,2.3,5.9,8.8,1143,74471,49.5
643,1400000US19153011114,Census Tract 111.14; Polk County; Iowa,3836,59.4,40.6,34.7,12.5,14.0,84.2,9.2,0.0,4.6,0.0,1.4,0.7,3.4,2518,63792,42.6
644,1400000US19153011201,Census Tract 112.01; Polk County; Iowa,5308,45.6,54.4,41.5,25.5,18.4,83.7,5.3,0.7,6.0,0.0,2.9,1.5,8.5,2387,85239,42.7
645,1400000US19153011203,Census Tract 112.03; Polk County; Iowa,3768,49.9,50.1,50.2,23.2,26.4,95.3,0.2,0.5,1.3,0.0,1.4,1.4,6.0,1592,167108,77.9
646,1400000US19153011205,Census Tract 112.05; Polk County; Iowa,3484,53.5,46.5,31.0,25.3,9.6,52.0,8.3,0.0,20.1,0.0,10.9,8.7,23.5,1542,65759,28.0
647,1400000US19153011206,Census Tract 112.06; Polk County; Iowa,3588,54.9,45.1,40.7,19.2,22.5,83.9,2.7,0.1,3.0,0.0,7.2,3.1,9.8,1525,124583,61.4
648,1400000US19153011301,Census Tract 113.01; Polk County; Iowa,3827,53.5,46.5,36.0,32.3,2.5,96.0,0.0,0.0,1.4,0.0,0.0,2.6,1.9,1379,135804,48.5
649,1400000US19153011302,Census Tract 113.02; Polk County; Iowa,3277,49.0,51.0,29.1,36.7,3.2,94.4,1.8,0.0,0.6,0.0,0.0,3.2,12.3,1065,112735,48.7
650,1400000US19153011303,Census Tract 113.03; Polk County; Iowa,7528,54.4,45.6,37.2,23.8,13.8,90.4,1.3,0.0,3.7,0.0,1.3,3.3,3.6,2963,83398,37.4
